name,serial_number,model,lab,location_detail,cluster,name in cluster,admin_condition
BLR-Dell-r640,J65GBW2,Dell-XC640-10-CORE,Bangalore Lab,,hummingbird,BLR-Dell-r640,
Dell-5810-1,169FZL2,Dell-Precision-Tower-5810,Bangalore Lab,,hummingbird,Dell-5810-1,
Dell-5810-2,90SJX52,Dell-Precision-Tower-5810,Bangalore Lab,,hummingbird,Dell-5810-2,
Dell-5810-3,DF5WSF2,Dell-Precision-Tower-5810,Bangalore Lab,,hummingbird,Dell-5810-3,
Dell-XC630-2,7Q0LLN2,Dell-XC630-10,Bangalore Lab,,hummingbird,Dell-XC630-2,
Dell-XC630-3,7PZNLN2,Dell-XC630-10,Bangalore Lab,,hummingbird,Dell-XC630-3,
HPE-DL-380-G10,SGH939TMLV,HPE-ProLiant-DL380-Gen10,Bangalore Lab,,hummingbird,HPE-DL-380-G10,
BER-Dell-R360,1LPN994,Dell-PowerEdge-R360,Berlin Lab,,hummingbird,BER-Dell-R360,
BER-Onlogic-HX310-perftest,E320051,OnLogic-HELIX-310,Berlin Lab,,hummingbird,BER-Onlogic-HX310-perftest,
Lenovo-SE10i_SN-PF5NAV69_Berlin-Lab,PF5NAV69,Lenovo-ThinkEdge-SE10,Berlin Lab,,hummingbird,Lenovo-SE10i_SN-PF5NAV69_Berlin-Lab,
sj-e100-table-box,S279678X8335730,Supermicro-SYS-E100-9APP,SanJose Lab,,hummingbird,sj-e100-table-box,
SJC-Dell-R650-XS,6X70X04,Dell-PowerEdge-R650xs,SanJose Lab,,hummingbird,SJC-Dell-R650-XS,
sjclab-dell-xr12-B32JDX3,B32JDX3,Dell-XR12,SanJose Lab,,hummingbird,sjclab-dell-xr12-B32JDX3,
SC-SUPERMICRO-E100-ZC10,S279678X8325357,Supermicro-SYS-E100-9APP,SanJose Lab,,hummingbird,SC-SUPERMICRO-E100-ZC10,
Supermicro-E3008D,S242344X9144145,Supermicro-SYS-E300-8D,SanJose Lab,,hummingbird,Supermicro-E3008D,
chm_nuc_01,G6BE94800D8V,Intel-NUC8i3BEH,Home Lab,chm_nuc_01,hummingbird,chm_nuc_01,
HPE-m750-SLB-SYSTEST,CN60190HU7,HP-EL1000-M750-GPU-ETH,CoreSite Lab,,hummingbird,HPE-m750-SLB-SYSTEST,
Kontron-402-SLB-SYSTEST,440342002,Kontron-402,CoreSite Lab,,hummingbird,Kontron-402-SLB-SYSTEST,
LENOVO-p360GPU-SLB-SYSTEST,MJOK4N9X,Lenovo-ThinkStation-P360-Tiny,CoreSite Lab,,hummingbird,LENOVO-p360GPU-SLB-SYSTEST,
LENOVO-P3TINY-SLB-SYSTEST,MZ022D2A,Lenovo-ThinkStation-P3-Tiny-Gen-2,CoreSite Lab,,hummingbird,LENOVO-P3TINY-SLB-SYSTEST,
LENOVO-SE10i-SLB-SYSTEST,MJ0KZLGP,Lenovo-ThinkEdge-SE10,CoreSite Lab,,hummingbird,LENOVO-SE10i-SLB-SYSTEST,
NFR170-Systest-E102-LAG-Device,A472130X3C11349,Supermicro-SYS-E102-9AP-LN4-E,Bangalore Office Space,,hummingbird,NFR170-Systest-E102-LAG-Device,
BLR_LAB_E101-TAMMANNA,S279678X7924919,Supermicro-SYS-E100-9APP,Bangalore Lab,,hummingbird,BLR_LAB_E101-TAMMANNA,
blr-8083,S322305X9718083,Supermicro-SYS-E50-9AP-WiFi,Bangalore Lab,,hummingbird,blr-8083,
blr-dell-edge-gateway-5000,DYN9Q42,Dell-Edge-Gateway-5000,Bangalore Lab,,hummingbird,blr-dell-edge-gateway-5000,
model_less_device,S322305X8B20753,Supermicro-SYS-E50-9AP-WiFi,Bangalore Lab,,hummingbird,model_less_device,
tammanna-jp6-arm-model-less,1421123018674,NVIDIA-Jetson-Orin-Nano,Bangalore Lab,,hummingbird,tammanna-jp6-arm-model-less,
SJC-Dell-Custom-Blade,G0VP8B3,Dell-custom-blade,SanJose Lab,,hummingbird,SJC-Dell-Custom-Blade,
hpe-el1000-sj-2,CN61020DM4,HP-EL1000-M750-GPU-ETH,SanJose Lab,,hummingbird,hpe-el1000-sj-2,
LENOVO-P3-ULTRA-SLB-SYSTEST,MZ036Y37,Lenovo-ThinkStation-P3-Ultra-SFF-G2,CoreSite Lab,,hummingbird,LENOVO-P3-ULTRA-SLB-SYSTEST,
chm_asus_nuc,NBMRCG0029497AH,ASUS-PN41,Home Lab,,hummingbird,chm_asus_nuc,
intel-nuc-pranav,G6PA2490003N,Intel-NUC11PAHi3,Home Lab,,hummingbird,intel-nuc-pranav,
Andrew-cherry,8X1TKH2,Dell-OptiPlex-7040,Home Lab,Andrew-cherry,hummingbird,Andrew-cherry,
Andrew-maple,CCV0RD2,Dell-OptiPlex-7040,Home Lab,Andrew-maple,hummingbird,Andrew-maple,
Andrew-walnut,8S8RGB2,Dell-OptiPlex-7040,Home Lab,Andrew-walnut,hummingbird,Andrew-walnut,
Andrew-avocado,B9N0AS46853338C,ASUS-G53SX,Home Lab,Andrew-avocado,hummingbird,Andrew-avocado,
andrew-o1,c001d00d,NVIDIA-Jetson-Orin-Nano-Super,Home Lab,andrew-o1,hummingbird,andrew-o1,
